scenario,time,capability_frontier_ratio,output_per_person_growth,wage_growth,net_interest,labor_income_share,ai_services_counterfactual_ratio,output_counterfactual_ratio,wage_counterfactual_ratio,consumption_counterfactual_ratio
"Monopoly, chi = 7.5",13.0,0.9995637479383619,-0.008584996029011872,-0.002433643876293994,0.031246468271674946,0.0015661699769240764,0.16402124700109894,0.22091615011199214,0.40315096556597363,0.9908701511352316
"Monopoly, chi = 7.5",13.125,0.999577154975595,-0.008589232574240723,-0.0024351235257589043,0.03124912630668364,0.0015673749702070003,0.16266711979278026,0.21909052292408143,0.4009239962551676,0.9826653921975095
"Monopoly, chi = 7.5",13.25,0.9995900659161845,-0.00859324615254834,-0.0024365129878807634,0.03125170306523245,0.0015685814180182998,0.16132404115210103,0.21727991376462258,0.3987093113273507,0.9745290765742308
"Monopoly, chi = 7.5",13.375,0.9996025021603914,-0.008597048505712267,-0.0024378172058992327,0.031254202065906844,0.001569789296908196,0.15999192973577153,0.21548420542156235,0.3965068473510661,0.9664606191885496
"Monopoly, chi = 7.5",13.5,0.9996144840564014,-0.008600650692920705,-0.002439040827555925,0.03125662665448489,0.0015709985846483851,0.15867070426087437,0.2137032811902867,0.39431654093734425,0.9584594405720843
"Monopoly, chi = 7.5",13.625,0.9996260309582964,-0.00860406313420621,-0.0024401882242840525,0.031258980013449594,0.001572209260162861,0.15736028354281653,0.21193702489937746,0.3921383287592075,0.9505249667792341
"Monopoly, chi = 7.5",13.75,0.9996371612804805,-0.008607295650884732,-0.0024412635090572798,0.03126126517090741,0.0015734213034637944,0.15606058653047508,0.21018532093417708,0.3899721475700398,0.9426566293047811
"Monopoly, chi = 7.5",13.875,0.999647892548806,-0.008610357503179587,-0.002442270552969062,0.03126348500899191,0.0015746346955905375,0.15477153233870425,0.2084480542583382,0.38781793422053323,0.9348538650044889
"Monopoly, chi = 7.5",14.0,0.9996582414486139,-0.008613257425274457,-0.0024432130006615564,0.031265642271738336,0.0015758494185527203,0.1534930402788215,0.20672511043409014,0.38567562567530445,0.9271161160209463
"Monopoly, chi = 7.5",14.125,0.9996682238699214,-0.008616003658020479,-0.0024440942847109067,0.031267739572503006,0.001577065455276767,0.15222502988655626,0.2050163756403832,0.3835451590278553,0.9194428297108165
"Monopoly, chi = 7.5",14.25,0.9996778549499181,-0.008618603979425172,-0.002444917639019369,0.031269779400939335,0.0015782827895565042,0.150967420946702,0.20332173668782466,0.38142647151275477,0.9118334585684809
"Monopoly, chi = 7.5",14.375,0.9996871491129448,-0.008621065733075943,-0.0024456861112816695,0.03127176412955769,0.0015795014060045885,0.14972013351650373,0.20164108103309222,0.3793195005175634,0.9042874601557818
"Monopoly, chi = 7.5",14.5,0.9996961201081153,-0.008623395854679566,-0.0024464025746149054,0.03127369601990328,0.0015807212900097343,0.14848308794733356,0.19997429679205764,0.37722418359474985,0.8968042970344712
"Monopoly, chi = 7.5",14.625,0.9997047810447544,-0.008625600896828295,-0.002447069738394388,0.03127557722837378,0.0015819424276933478,0.1472562049045668,0.1983212727515272,0.375140458471832,0.8893834367004758
"Monopoly, chi = 7.5",14.75,0.9997131444257801,-0.008627687052156247,-0.0024476901583784213,0.03127740981170196,0.0015831648058721858,0.14603940538582938,0.19668189837970257,0.3730682630614799,0.8820243515198971
"Monopoly, chi = 7.5",14.875,0.9997212221791527,-0.008629660174968384,-0.0024482662461526583,0.03127919573211481,0.0015843884120196005,0.14483261073780396,0.1950560638355575,0.3710075354700822,0.8747265186670536
"Monopoly, chi = 7.5",15.0,0.9997290256875141,-0.00863152580142744,-0.0024488002779274355,0.03128093686220845,0.001585613234232439,0.1436357426716749,0.1934436599772116,0.36895821400654155,0.8674894200642422
"Monopoly, chi = 7.5",15.125,0.9997365658161403,-0.008633289168464661,-0.0024492944027763525,0.031282634989532904,0.001586839261197198,0.14244872327723926,0.19184457836925137,0.3669202371896352,0.8603125423230782
"Monopoly, chi = 7.5",15.25,0.9997438529393163,-0.008634955231471432,-0.002449750650333823,0.03128429182092457,0.0015880664821593768,0.1412714750360457,0.19025871128944613,0.36489354375544575,0.8531953766884771
"Monopoly, chi = 7.5",15.375,0.9997508969652168,-0.00863652868083599,-0.0024501709379774004,0.03128590898659454,0.0015892948868948397,0.1401039208338008,0.18868595173515562,0.36287807266499983,0.8461374189861645
"Monopoly, chi = 7.5",15.5,0.9997577073593882,-0.00863801395743486,-0.002450557077550446,0.031287488043985054,0.0015905244656823669,0.13894598397044647,0.1871261934271957,0.36087376310904234,0.8391381695647003
