time,sigma,output_effective_labor,capital_effective_labor,consumption_effective_labor,wage_productivity,ai_services_effective_labor,capability,ai_service_price,output_per_person_growth,wage_growth,consumption_per_person_growth,net_interest,labor_income_share,inference_output_share,research_output_share,profit_output_share,capability_frontier_ratio,ai_services_counterfactual_ratio,output_counterfactual_ratio,consumption_counterfactual_ratio,wage_counterfactual_ratio
219.875,1.5,9032902247261.059,20273863101556.348,750342728240.2294,298662236.51842135,6064969638628210.0,1002.185120714239,0.0009978196436276347,0.05703083003963539,0.04135440246237315,0.057029588128535834,0.09702958812853583,3.3063818066777085e-05,0.6699669361819331,0.0,0.0,0.9,1.0,1.0,1.0,1.0
220.0,1.5,9086161723449.094,20393409130767.87,754766755228.7677,299835079.6060062,6100730285786058.0,1002.185120714239,0.0009978196436276347,0.05703076992814041,0.041354361377681385,0.05702953044836508,0.09702953044836508,3.299909122596923e-05,0.6699670009087739,0.0,0.0,0.9,1.0,1.0,1.0,1.0
220.125,1.5,9139735157662.8,20513659900457.953,759216860849.4083,301012526.8904323,6136701739851007.0,1002.185120714239,0.0009978196436276347,0.05703070993442778,0.04135432037349297,0.05702947288120885,0.09702947288120885,3.2934491174841224e-05,0.669967065508825,0.0,0.0,0.9,1.0,1.0,1.0,1.0
220.25,1.5,9193624400374.584,20634619564498.684,763693198808.1306,302194596.4431878,6172885243330749.0,1002.185120714239,0.0009978196436276347,0.05703065005826649,0.04135427944964999,0.05702941542684655,0.09702941542684655,3.287001766472817e-05,0.6699671299823352,0.0,0.0,0.9,1.0,1.0,1.0,1.0
220.375,1.5,9247831312961.727,20756292301242.07,768195923716.7343,303381306.40668005,6209282046054945.0,1002.185120714239,0.0009978196436276347,0.05703059029942172,0.04135423860599201,0.05702935808505399,0.09702935808505399,3.280567044745519e-05,0.6699671943295524,0.0,0.0,0.9,1.0,1.0,1.0,1.0
220.5,1.5,9302357767772.115,20878682313666.13,772725191098.2207,304572674.99452305,6245893405219556.0,1002.185120714239,0.0009978196436276347,0.057030530657665474,0.04135419784236316,0.05702930085561372,0.09702930085561372,3.27414492753344e-05,0.6699672585507246,0.0,0.0,0.9,1.0,1.0,1.0,1.0
220.625,1.5,9357205648188.244,21001793829520.242,777281157392.1824,305768720.4918254,6282720585429904.0,1002.185120714239,0.0009978196436276347,0.05703047113276494,0.041354157158604354,0.05702924373830306,0.09702924373830306,3.267735390116479e-05,0.6699673226460988,0.0,0.0,0.9,1.0,1.0,1.0,1.0
220.75,1.5,9412376848692.383,21125631101470.277,781863979960.1772,306969461.2554535,6319764858744301.0,1002.185120714239,0.0009978196436276347,0.057030411724490346,0.04135411655455855,0.05702918673290252,0.09702918673290252,3.261338407823094e-05,0.6699673866159217,0.0,0.0,0.9,1.0,1.0,1.0,1.0
220.875,1.5,9467873274932.252,21250198407246.61,786473817091.1844,308174915.71433526,6357027504718143.0,1002.185120714239,0.0009978196436276347,0.057030352432611245,0.04135407603006825,0.057029129839191554,0.09702912983919156,3.254953956030216e-05,0.6699674504604397,0.0,0.0,0.9,1.0,1.0,1.0,1.0
221.0,1.5,9523696843786.73,21375500049790.953,791110828007.0615,309385102.3697297,6394509810448150.0,1002.185120714239,0.0009978196436276347,0.05703029325690091,0.04135403558497845,0.0570290730569532,0.0970290730569532,3.248582010163133e-05,0.6699675141798983,0.0,0.0,0.9,1.0,1.0,1.0,1.0
221.125,1.5,9579849483431.686,21501540357405.258,795775172868.0343,310600039.7955099,6432213070616399.0,1002.185120714239,0.0009978196436276347,0.05703023419712869,0.04135399521913155,0.057029016385966434,0.09702901638596644,3.2422225456954384e-05,0.669967577774543,0.0,0.0,0.9,1.0,1.0,1.0,1.0
221.25,1.5,9636333133407.084,21628323683901.16,800467012778.2438,311819746.6384557,6470138587535575.0,1002.185120714239,0.0009978196436276347,0.05703017525306822,0.041353954932372795,0.057028959826014324,0.09702895982601432,3.235875538148886e-05,0.6699676412446185,0.0,0.0,0.9,1.0,1.0,1.0,1.0
221.375,1.5,9693149744683.63,21755854408750.645,805186509791.301,313044241.6185345,6508287671193534.0,1002.185120714239,0.0009978196436276347,0.0570301164244902,0.04135391472454549,0.05702890337687685,0.09702890337687685,3.229540963093328e-05,0.6699677045903689,0.0,0.0,0.9,1.0,1.0,1.0,1.0
221.5,1.5,9750301279730.453,21884136937236.594,809933826915.8822,314273543.52919394,6546661639298861.0,1002.185120714239,0.0009978196436276347,0.05703005771117172,0.041353874595497206,0.05702884703834021,0.09702884703834021,3.223218796146593e-05,0.6699677678120385,0.0,0.0,0.9,1.0,1.0,1.0,1.0
221.625,1.5,9807789712582.271,22013175700605.273,814709128121.3467,315507671.2376384,6585261817326044.0,1002.185120714239,0.0009978196436276347,0.057029999112884845,0.04135383454507218,0.057028790810185435,0.09702879081018544,3.21690901297443e-05,0.6699678309098702,0.0,0.0,0.9,1.0,1.0,1.0,1.0
221.75,1.5,9865617028908.227,22142975156219.688,819512578343.4268,316746643.6851339,6624089538561389.0,1002.185120714239,0.0009978196436276347,0.05702994062940443,0.04135379457311651,0.057028734692196124,0.09702873469219613,3.21061158929039e-05,0.6699678938841072,0.0,0.0,0.9,1.0,1.0,1.0,1.0
221.875,1.5,9923785226079.99,22273539787712.863,824344343489.8947,317990479.88728774,6663146144149149.0,1002.185120714239,0.0009978196436276347,0.05702988226050548,0.04135375467947639,0.05702867868415592,0.09702867868415592,3.204326500855737e-05,0.6699679567349914,0.0,0.0,0.9,1.0,1.0,1.0,1.0
222.0,1.5,9982296313241.03,22404874105143.23,829204590446.3057,319239198.9343438,6702432983137742.0,1002.185120714239,0.0009978196436276347,0.05702982400596374,0.04135371486399854,0.05702862278584896,0.09702862278584896,3.198053723479328e-05,0.6699680194627652,0.0,0.0,0.9,1.0,1.0,1.0,1.0
222.125,1.5,10041152311375.86,22536982645149.977,834093487081.7576,320492819.99148226,6741951412526341.0,1002.185120714239,0.0009978196436276347,0.057029765865556616,0.04135367512653077,0.05702856699706096,0.09702856699706096,3.1917932330175736e-05,0.6699680820676698,0.0,0.0,0.9,1.0,1.0,1.0,1.0
222.25,1.5,10100355253379.744,22669869971110.1,839011202254.6935,321751362.2990991,6781702797311775.0,1002.185120714239,0.0009978196436276347,0.05702970783905907,0.041353635466919295,0.05702851131757502,0.09702851131757502,3.185545005374295e-05,0.6699681445499462,0.0,0.0,0.9,1.0,1.0,1.0,1.0
222.375,1.5,10159907184129.096,22803540673295.438,843957905818.7174,323014845.1731148,6821688510535570.0,1002.185120714239,0.0009978196436276347,0.0570296499262505,0.04135359588501325,0.0570284557471784,0.0970284557471784,3.1793090165006584e-05,0.6699682069098349,0.0,0.0,0.9,1.0,1.0,1.0,1.0
222.5,1.5,10219810160551.799,22937999369031.406,848933768628.4656,324283288.00526094,6861909933331459.0,1002.185120714239,0.0009978196436276347,0.057029592126908814,0.04135355638066084,0.05702840028565683,0.09702840028565683,3.1730852423950724e-05,0.669968269147576,0.0,0.0,0.9,1.0,1.0,1.0,1.0
222.625,1.5,10280066251698.39,23073250702856.45,853938962545.5054,325556710.26338434,6902368454972927.0,1002.185120714239,0.0009978196436276347,0.05702953444081254,0.04135351695371065,0.057028344932796564,0.09702834493279656,3.166873659103111e-05,0.6699683312634089,0.0,0.0,0.9,1.0,1.0,1.0,1.0
222.75,1.5,10340677538809.453,23209299346673.195,858973660443.9648,326835131.4916578,6943065472918520.0,1002.185120714239,0.0009978196436276347,0.057029476867740125,0.04135347760401124,0.05702828968838535,0.09702828968838535,3.160674242717826e-05,0.6699683932575727,0.0,0.0,0.9,1.0,1.0,1.0,1.0
222.875,1.5,10401646115389.215,23346149999914.383,864038036216.6741,328118571.31091446,6984002392861404.0,1002.185120714239,0.0009978196436276347,0.05702941940746609,0.041353438331408546,0.05702823455220792,0.09702823455220792,3.154486969379437e-05,0.6699684551303062,0.0,0.0,0.9,1.0,1.0,1.0,1.0
223.0,1.5,10462974087280.008,23483807389708.887,869132264781.2617,329407049.41900307,7025180628779217.0,1002.185120714239,0.0009978196436276347,0.05702936205976905,0.041353399135751256,0.057028179524053084,0.09702817952405308,3.148311815275053e-05,0.6699685168818472,0.0,0.0,0.9,1.0,1.0,1.0,1.0
223.125,1.5,10524663572735.086,23622276271045.64,874256522086.2367,330700585.5910855,7066601602982988.0,1002.185120714239,0.0009978196436276347,0.057029304824428986,0.04135336001688894,0.057028124603710754,0.09702812460371076,3.1421487566385475e-05,0.6699685785124335,0.0,0.0,0.9,1.0,1.0,1.0,1.0
223.25,1.5,10586716702491.516,23761561426938.133,879410985117.0647,331999199.6799345,7108266746166153.0,1002.185120714239,0.0009978196436276347,0.0570292477012218,0.04135332097466852,0.05702806979096663,0.09702806979096663,3.135997769750471e-05,0.6699686400223024,0.0,0.0,0.9,1.0,1.0,1.0,1.0
