scenario,time,capability_frontier_ratio,output_per_person_growth,wage_growth,net_interest,labor_income_share,ai_services_counterfactual_ratio,output_counterfactual_ratio,wage_counterfactual_ratio,consumption_counterfactual_ratio
"Monopoly, chi = 7.5",22.0,0.9617841104052982,0.00672858361328296,0.007266546623202099,0.04512096663741015,0.05114014246105693,0.0508670696706639,0.07760617645416513,0.19938818971651415,0.36246170347638523
"Monopoly, chi = 7.5",22.125,0.9619747149179336,0.006758203698277618,0.007289759424747503,0.04516086296442838,0.051143561019212073,0.05042847239325794,0.07692883190802349,0.19820164636025042,0.35925990098822963
"Monopoly, chi = 7.5",22.25,0.9621642068244346,0.006787671130841497,0.007312846253622509,0.045200525675311326,0.05114693892860384,0.049994165594968144,0.07625823585540972,0.1970237298759054,0.35609065413771684
"Monopoly, chi = 7.5",22.375,0.9623525937661159,0.006816986583995593,0.007335807759376709,0.04523995621004408,0.05115027634933029,0.04956410150322177,0.07559431122586623,0.19585436333458292,0.35295357997707116
"Monopoly, chi = 7.5",22.5,0.9625398833256698,0.006846150728656388,0.0073586445882112975,0.04527915600033443,0.05115357344355831,0.04913823293870992,0.07493698193925794,0.194693470608803,0.3498483006871366
"Monopoly, chi = 7.5",22.625,0.9627260830284071,0.006875164233356373,0.0073813573828263,0.045318126470066014,0.051156830376021485,0.04871651330828575,0.07428617289315707,0.19354097636547493,0.34677444350533926
"Monopoly, chi = 7.5",22.75,0.9629112003337735,0.00690402776673216,0.007403946783949752,0.04535686903068549,0.051160047307971926,0.048298896612833625,0.07364180997275678,0.19239680609944887,0.34373164074639573
"Monopoly, chi = 7.5",22.875,0.9630952426405682,0.0069327419962642725,0.007426413429600069,0.04539538508365776,0.05116322440021092,0.04788533743137609,0.07300382002507942,0.19126088610287806,0.34071952967811314
"Monopoly, chi = 7.5",23.0,0.9632782172927034,0.006961307586722248,0.007448757954158343,0.0454336760232668,0.05116636181662939,0.04747579090149534,0.07237213082769248,0.19013314342421295,0.3377377523769196
"Monopoly, chi = 7.5",23.125,0.9634601315739194,0.006989725201752949,0.0074709809893509956,0.04547174323365406,0.051169459720271995,0.04707021272294401,0.07174667109233461,0.18901350588964652,0.3347859557237485
"Monopoly, chi = 7.5",23.25,0.9636409927050501,0.0070179955048649345,0.007493083164874384,0.04550958808712732,0.05117251827101243,0.04666855915838435,0.07112737046426318,0.18790190211690458,0.33186379138194916
"Monopoly, chi = 7.5",23.375,0.9638208078528968,0.007046119156989825,0.007515065106929478,0.04554721194862843,0.05117553763126546,0.04627078700607798,0.0705141594794521,0.18679826145260117,0.328970915608299
"Monopoly, chi = 7.5",23.5,0.9639995841293967,0.007074096816793892,0.00753692743842712,0.0455846161751096,0.05117851796509778,0.04587685359758538,0.06990696955946371,0.185702513977015,0.326106989213749
